,Title,Channel name,Views,Game
668,GCN Baby Park Mario Kart 8 Deluxe OST,Dave's OSTs,689827,Mario Kart 8 Deluxe
670,Super Mario 64 Soundtrack Piranha Plant s Lullaby Piano ,RadiatorRampardos,689634,Super Mario 64
674,OMORI OST 122 WHITE SPACE,OMOCAT,678228,OMORI
675,GCN Sherbet Land Mario Kart 8 Deluxe OST,Dave's OSTs,672936,Mario Kart 8 Deluxe
676,La Danse Macabre Lich Yard Shovel Knight [OST],DeoxysPrime,666259,Shovel Knight
679,The Witcher 3 Wild Hunt OST Hunt or Be Hunted True Extended Version HQ,P I S,642822,The Witcher 3 Wild Hunt
682,HITMAN 2 Soundtrack Main Menu,Salem,637827,HITMAN 2
683,STREET FIGHTER V Guile Theme long version ,Versus FightingTV,635627,STREET FIGHTER V
685,Plantera from Terraria ,Re-Logic - Topic,631574,Terraria
686,OMORI OST 069 PRANKED ,OMOCAT,626888,OMORI
693,Phoenix Wright Ace Attorney OST Detention Center ~ Jailers Elegy,Gyakuten Saiban Sound Box,609465,Phoenix Wright Ace Attorney
705,Music Lewis Legend Boss Battle from Lollipop Chainsaw ,RecRoulette,574227,Lollipop Chainsaw
707,Judge Eyes Judgment OST Disc 1 09 Drumfire,Samuel Owen,565613,Judgment
712,Undertale Yellow OST 067 Deal Em Out,Undertale Yellow,559548,Undertale
717,John Paesano Fighting Back From Marvel s Spider Man 2 Audio Only ,MarvelMusicVEVO,557055,Marvel s Spider Man
720,Destiny 2 The Witch Queen Original Soundtrack Track 21 Insurrection,Destiny 2,554842,Destiny 2
722,Red Black,Anna Vieste - Topic,549920,Black
724,Killer7 Rave On,FUZATl,547462,Killer7
725,Donkey Kong Country 2 Hot Head Bop [Restored],Jammin' Sam Miller,545079,Donkey Kong Country
731,Splatoon Splattack Main Theme ,Luneth,534086,Splatoon
733,Tough Guy Alert DX Mario and Luigi Bowser s Inside Story Bowser Jr s Journey OST,Woodman's Music Channel,533229,Journey
734,Kass s Complete Theme The Legend of Zelda Breath of the Wild,TheEmanos,531247,The Legend of Zelda Breath of the Wild
735,Kingdom Hearts Music End of the World Combat,BlueKunai Soundtracks,530967,Kingdom Hearts
736,Mouthpiece Boss Battle Theme Borderlands 3 OST ,CDJoriginal,529165,Borderlands
741,Shantae Half Genie Hero OST Boss,TerrorOfTalos,521724,Shantae Half Genie Hero
742,Cult of the Lamb [Official] Sacrifice,River Boy,521065,Cult of the Lamb
744,Menu Super Smash Bros for Wii U OST,Yoshi's VGM,520577,Super Smash Bros for Wii U
752,Green Hill Zone Sonic the Hedgehog [OST],DeoxysPrime,506655,Sonic the Hedgehog
756,A Hat in Time OST 01 Main Theme,Gears for Breakfast,494291,A Hat in Time
758,Final Fantasy IV Boss Battle Theme Orchestral Remix ,Malcolm Robinson Music,493283,Final Fantasy IV
760,Shantae Half Genie Hero OST Mermaid Factory Counterfeit Mermaids ,TerrorOfTalos,491693,Shantae Half Genie Hero
765,Map Day Tomodachi Life OST,NH1507's OSTs,484221,Tomodachi Life
767,Super Bell Subway Mario Kart 8 Deluxe OST,Dave's OSTs,482844,Mario Kart 8 Deluxe
769,Tom Clancy s The Division OST Ola Strandh Ferro,Ubisoft Music,482052,Tom Clancy s The Division
774,Pac Man World 2 Soundtrack Menu,BadBalloon,478448,Pac Man
785,Borderlands 3 OST Jesper Kyd Main Menu Theme Day ,Cool Music™,458538,Borderlands
786,Bioshock Theme The Ocean on His Shoulders,Balthus,455426,Bioshock
796,Xenoblade Chronicles OST Memories,Xenoblade Chronicles OST,448540,Xenoblade Chronicles
806,Undertale Yellow OST 011 Fever Pitch,Undertale Yellow,436129,Undertale
814,Hero Mode Alterna 7 Splatoon 3 OST,Kara,422667,Splatoon 3
816,Borderlands 2 UST Bloodshot Ramparts Combat,z3lx,418203,Borderlands
819,Donkey Kong Country Aquatic Ambience [Restored] NEW 2020 MIX,Jammin' Sam Miller,417227,Donkey Kong Country
821,Assassin s Creed Access the Animus Track 06 ,Ubisoft Music,416014,Assassin s Creed
827,Piranha Plants on Parade Super Mario Bros Wonder HQ ,Fie Claussell,410925,Super Mario Bros 
829,Overworld Baby Yoshi Singing Yoshi Drums New Super Mario Bros U OST,Yoshi's VGM,407916,New Super Mario Bros 
833,Metroid Prime 2 Echoes Torvus Bog Soundtrack,kruvik,403716,Metroid Prime
839,Overwatch 2 Original Soundtrack Midtown,PlayOverwatch,393698,Overwatch 2
840,Donkey Kong Country Tropical Freeze Soundtrack Rodent Ruckus,piplupwater,393668,Donkey Kong Country
842,Cave Story OST T24 Moonsong Outer Wall ,Frygoon,390719,Cave Story
844,Crash Bandicoot Main Theme,Vicarious Visions Audio - Topic,389043,Crash Bandicoot
853,Shantae Half Genie Hero OST Mermaid Falls,TerrorOfTalos,376550,Shantae Half Genie Hero
855,Lighthouse Dead Cells The Queen And The Sea Official Soundtrack ,Valmont,376075,Dead Cells
862,02 DK Island Swing Returns Donkey Kong Country Returns OST,SMBGamingOST,366788,Donkey Kong Country
866,Overcooked Main Menu SONG,Musiclapse,364088,Overcooked 
870,Baba Is You OST Baba Is You Theme,Hempuli,359270,Baba Is You
875,Olivier Deriviere Funky HQ Streets of Rage 4 Official Soundtrack,Mutant Ninja Records,354827,Streets of Rage 4
878,Digby Vermouth Supernova Dreamsicle Borderlands 3 OST,Original Soundtrack,351087,Borderlands
880,Ib OST The Little Doll s Dream Game Over ,nekorinadesu,350490,Ib
890,Resident Evil 3 Remake Special Soundtrack Nemesis Theme,Ruba,339552,Resident Evil 3
896,GBA Sky Garden Mario Kart 8 Deluxe OST,Dave's OSTs,327902,Mario Kart 8 Deluxe
903,Tour Sydney Sprint Mario Kart 8 Deluxe Booster Course Pass Music,TZ Gaming,322471,Mario Kart 8 Deluxe
904,Hearthstone Soundtrack Don t Let Your Guard Down,HearthPwn,319633,Hearthstone
911,Horizon Zero Dawn OST Prologue,CobaiyeOST,316222,Horizon Zero Dawn
914,Donkey Kong Country Ice Cave Chant [Restored],Jammin' Sam Miller,313551,Donkey Kong Country
918,Goldeneye 007 Music Aztec,Saru786,308697,Goldeneye 007
922,Fossil Falls Super Mario Odyssey OST,Dave's OSTs,305190,Super Mario Odyssey
924,Mega Man 2 medley Super Smash Bros Ultimate,Sniper Nezzz,304843,Mega Man 2
926,Tom Clancy s The Division OST Ola Strandh Precinct Siege,Ubisoft Music,301637,Tom Clancy s The Division
933,Busan Overwatch Cities Countries,PlayOverwatch,299347,Overwatch
934,Welcome Your New Overlord Kirby s Return to Dream Land Soundtrack,Eternal,298358,Kirby s Return to Dream Land
943,Yuzo Koshiro Mr Y Streets of Rage 4 Official Soundtrack,Mutant Ninja Records,288591,Streets of Rage 4
947,Cave Story OST T11 On To Grasstown,Frygoon,285622,Cave Story
953,C R O W N E D Kirby s Return to Dream Land Soundtrack,Eternal,276549,Kirby s Return to Dream Land
954,F Zero X OST Dream Chaser,VideoGameOST1,276279,F Zero X
955,The Giant DX Mario and Luigi Bowsers Inside Story Bowser Jr s Journey OST,Woodman's Music Channel,276147,Journey
959,Ninja Hideaway Mario Kart 8 Deluxe Booster Course Pass OST,Slash,274515,Mario Kart 8 Deluxe
961,Hero Mode Alterna 11 Splatoon 3 OST,Kara,271413,Splatoon 3
962,Mega Man X OST T24 Sigma Stage 1,Frygoon,270996,Mega Man X
967,Inon Zur Lelianna s Song Dragon Age Origins OST ,Inon Zur,264188,Dragon Age Origins
968,Donkey Kong Country 2 K Rool Returns [Restored],Jammin' Sam Miller,263839,Donkey Kong Country
973,Metal Gear Solid 1 Soundtrack Track 1 Main Theme ,VisualBoyAdvanceVBA,259610,Metal Gear Solid
977,Theme of Love Final Fantasy IV ,Nobuo Uematsu - Topic,252408,Final Fantasy IV
979,A Hat in Time OST Welcome to Mafia Town,Gears for Breakfast,251414,A Hat in Time
980,Cave Story OST T19 Geothermal The Core ,Frygoon,251397,Cave Story
992,Undertale Yellow OST 051 Feisty ,Undertale Yellow,245845,Undertale
995,Donkey Kong Country 2 Jib Jig [Restored],Jammin' Sam Miller,244629,Donkey Kong Country
999,Donkey Kong Country 3 Treetop Tumble Restored ,Jammin' Sam Miller,242214,Donkey Kong Country
1003,Autumn Work Don t Starve Together OST,Sunset Skye,237971,Don t Starve Together
1004,Crash Bandicoot 3 OST Warp Room,Video Game Soundtracks GR,237778,Crash Bandicoot
1005,RimWorld Soundtrack End Credits Song,Człowiek Drzewo,237709,RimWorld
1008,Borderlands 2 UST Boom Bewm Captain Flynt Boss,z3lx,236684,Borderlands
1012,Mother 3 We Miss You Theme of Love English Ver ,batwing321,234924,Mother 3
1018,Yakuza Kiwami 2 OST A Scattered Moment,Like a Maid Dragon,230320,Yakuza Kiwami
1022,A Hat in Time OST Her Spaceship,just2good Music Archive,226590,A Hat in Time
1029,A Trip to Alivel Mall Kirby and the Forgotten Land OST [012],J.O.E. VGM,224656,Kirby and the Forgotten Land
1033,Toad Town Green Streamer Removal Paper Mario The Origami King OST,Yoshi's VGM,222263,Paper Mario The Origami King
1036,Boss Battle Shantae and the Pirate s Curse [OST],DeoxysPrime,220724,Shantae and the Pirate s Curse
1039,Fawful is There DX Mario and Luigi Bowser s Inside Story Bowser Jr s Journey OST,Woodman's Music Channel,218924,Journey
1046,Shantae Half Genie Hero OST Hypno Baron s Castle,TerrorOfTalos,213787,Shantae Half Genie Hero
1047,Mega Man X OST T25 Sigma Stage 2,Frygoon,213228,Mega Man X
1058,Mario Luigi Superstar Saga Bowser s Minions Ost Rookie and Popple,Raphael Savoie,206153,Mario Luigi Superstar Saga Bowser s Minions
1062,Super Mario 64 Remastered Koopa s Road,Church of Kondo,203809,Super Mario 64
1065,Donkey Kong Country 2 Klomp s Romp [Restored],Jammin' Sam Miller,198292,Donkey Kong Country
